question,ans,website
Question 39. Which Place Is Called The “land Of Basketball”?,"Answer :
Lithuania.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 40. Which One Of These Rules Is Not A Foul In Wheelchair Basketball And Wouldn't Cause The Game To Be Paused?,"Answer :
Many of the fouls in the running game are very similar to wheelchair basketball, only they're adapted to suit to use of chairs.
Table Tennis Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 41. What Is It Called When You Use Both Hands At The Same Time To Dribble?,"Answer :
You can only dribble the ball with one hand at the same time. Double dribbling is an infraction in basketball.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 42. How High Is The Regulation Goal In The Game Of Basketball?,"Answer :
It's pretty high, but sometimes not high enough.
Golf Interview Questions",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 43. What Is It Called When A Person Touches The Ball On Its Way In To The Cylinder?,"Answer :
Goaltending usually occurs in professional or college basketball.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 44. What Is It Called When A Person Dribbles With Both Hands At The Same Time?,"Answer :
A double-dribble is also when a basketball player dribbles the ball, stops, and then dribbles again.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 45. How Many Total Players Are On The Basketball Court At One Time During A Game?,"Answer :
Five players per team, including two forwards, two guards, and one center.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 46. At What Point During A Two-shot Free Throw May A Substitute Enter The Game?,"Answer :
Between the first and second shots.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 47. What Is It Called When A Person Takes Too Many Steps With The Ball Without Bouncing It?,"Answer :
Traveling is also an infraction in basketball. It results in a turnover.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 48. How Many Points Is A Free Throw Worth?,"Answer :
A free throw is awarded when a player is fouled while shooting.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 49. What Was The Largest Jersey Number That A Player Had In 2005?,"Answer :
Ron Artest of the Indiana Pacers had the dubious honor. He wore the number 23 prior.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 50. There Is A Point’s Classification System To Classify The Severity Of A Player's Disability. What Number Of Points Would Classify A Person With A Very Minor Disability, Such As Something That Only Gave Them A Limp?","Answer :
The lowest points a player can have is one. This person is likely to have quite a severe disability compared to a person with 4.5 points. A 4.5 pointer is probably the closest to an able-bodied player and would only have a very small disability. The largest number of points a player can have is 5, and in this case, would have no disability at all.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 51. What Is It Called When You Make A Shot Behind The Arc In The Nba?,"Answer :
A three-point shot is the hardest shot to make in basketball.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 52. In A Middle School Basketball Game, An Error Is Noticed In The Home Team's Score Book: One Player Is Not Included In The Lineup For The Home Team. What Is The Correct Ruling?","Answer :
Though officials don't always follow through with this rule, this is the correct ruling.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 53. How Many Points Are Awarded When A Shot Inside The Paint Is Made?,"Answer :
The paint is the colored area right under the basket extending to the free throw line.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 54. Which Of These Is Not A Feature Of The Sports Wheelchair?,"Answer :
Sports wheelchairs are specially made for the court. The wheels on the chair are angled to allow easier turning and they're often much lighter than a normal chair. All sports wheelchairs have 2 large wheels at either side used for pushing the chair and two smaller wheels called casters at the front. Some have a 5th wheel called an anti-tip, for balance.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 55. How Many Quarters Are Played In A Professional Basketball Game?,"Answer :
Professional basketball plays 4 quarters, with a halftime after the 2nd quarter.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 56. When A Defender Attempts To Block A 10 Foot Shot And Touches It, While The Ball Is On Its Downward Flight, What Should The Referee Call?","Answer :
When a team is shooting the ball, the ball is not allowed to be touched on its downward path providing the ball is (in the opinion of the referee) on its way to the hoop. A ball also cannot be touched by either team if the ball is on the rim.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 57. When Basketball Was First Made, Which Were Used As The Goals?","Answer :
The peach baskets were sufficient until later they ripped out the bottoms so after every score they did not have to retrieve the ball.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 58. Which Of These Plays Cannot Be Performed In Wheelchair Basketball?,"Answer :
Most standard plays in the running game are also used in the wheelchair game. However, a back down would not be possible as it involves shouldering another player until they're forced backwards and allow you more room to shoot. This kind of contact is not allowed in the wheelchair game.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 59. What Kind Of Shot Are You Said To Win Games With?,"Answer :
Lay-ups, the highest percentage shot in a game as they're scored closest to the basket, but it is not always possible to get through the defense all the time to do so. Three-pointers may get you more points, but they're a low percentage shot because they're far from the basket. Free throws however are earned if you are fouled by the opposing team. You have more time to shoot them, and most of the time the clock is stopped while you do so. Hitting these shots will earn you valuable points of the other team's mistakes.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 60. In The Nba, How Long May A Defensive Player Stand In The Paint Without Guarding Anyone?","Answer :
With this rule, introduced by the NBA in 2003, the defensive players have to get out of the paint every three seconds. This three second rule is not use in European basketball.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 61. How Do You Commit A Traveling Violation In Wheelchair Basketball?,"Answer :
Unlike the running game, you are allowed to resume dribbling after stopping. However, you cannot have more than 2 pushes before bouncing the ball. A turn or a touch of the wheel counts as a push.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
Question 62. The Player That Brings The Ball Down Court And Runs The Offense Is Called The ________?,"Answer :
The guard calls all of the plays and controls the ball.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 63. In A Regulation Game Of Basketball, What Is The Least Difference Of Points Needed To Win A Game?","Answer :
Only one point more than the other team is needed to win the game.",https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
"Question 64. In Both Basketball Games, What Is The Number Of Points Awarded For A Shooting Basket Inside The Arc?",Answer :,https://www.wisdomjobs.com/e-university/basketball-interview-questions.html
